,anomaly_score
213,0.4543964666849076
214,0.24546584023536433
215,0.2426321317653537
216,0.24709051145203043
217,0.20449708340067085
218,0.21534230097194085
219,0.302732544603729
220,0.33229479231127357
221,0.29379097269328336
222,0.29781390774462546
223,0.3023289568661143
224,0.1659547294835082
225,0.12070369567003297
226,0.12282394250836448
227,0.12303563681643595
228,0.3144679461232961
229,0.1842939272083095
230,0.18342961809111202
231,0.2620120292347624
232,0.26638063950858093
233,0.17462343056821247
234,0.26507672858719183
235,0.2678373097371922
236,0.2582686403654669
237,0.2754105194218608
238,0.16402627691917568
239,0.16784645784684205
240,0.18273672610120706
241,0.17323103203128698
242,0.17114517917729832
243,0.3048150326043202
244,0.30950277496462947
245,0.3658523036304663
246,0.1391382703413691
247,0.41546186920990963
248,0.1671721828106406
249,0.17663123060672542
250,0.16970538127253576
251,0.17458218844746193
252,0.20615348046687548
253,0.3038605940683006
254,0.23730570010528376
255,0.18829061773180356
258,0.20700892690474654
259,0.1808733877982643
260,0.21261182268739168
261,0.15898193691905743
262,0.24072278107647888
263,0.16017521972132315
264,0.2065618195727097
265,0.18639996580187462
266,0.1764922854776395
267,0.1836468633117806
268,0.15894015406551923
269,0.17626774825921476
270,0.37748380433221507
271,0.24909582735590885
272,0.25453390508604007
273,0.2469110929798426
274,0.22332140849446017
275,0.2191987078367051
276,0.2312510600133204
277,0.24071773347092978
278,0.16998818216063194
279,0.269035903435519
280,0.410797163271745
281,0.7516654521027006
282,0.29331708345128493
283,0.165964243217671
284,0.40381977475180214
285,0.1853548279042391
286,0.28208149079159844
287,0.28529272500251013
288,0.3626572370924561
289,0.19161363295606942
291,0.16907360080707717
292,0.15901990817824527
293,0.2669229266385692
294,0.29589519032990985
295,0.3685398454399293
296,0.1897980373878469
297,0.24194181629976713
298,0.4307603223312386
299,0.1462596449225719
300,0.25418118552652574
301,0.2482909918484164
302,0.25689161012616396
303,0.3826769831044484
304,0.8301845849625231
305,0.3013175229462526
306,0.4041736675221356
307,0.6608912741569818
308,0.326623106825721
309,0.34889215747877006
310,0.2460085553284117
311,0.3351295897653156
312,0.279605740740816
313,0.4521967067954972
314,0.4520648837673791
315,0.2456525349964378
316,0.16702173624840522
317,0.1672870633745814
318,0.45147224513809153
319,0.1681591968609103
320,0.270168557290684
321,0.25729192049295097
322,0.2744414742337921
323,0.25216945091780457
324,0.2569449642795921
325,0.25049981609586636
326,0.2526654287561736
327,0.2445582957128054
328,0.11893556814467489
329,0.2016889364952793
330,0.21496336521850398
331,0.23135903802353314
332,0.11498784132542254
333,0.18504667371710531
334,0.1868663711213353
335,0.12289202662042338
337,0.2824532511493103
338,0.24851515694642695
339,0.2853971277891361
340,0.2183786513086174
341,0.1285170789309828
342,0.28257642543979306
343,0.13982286178032788
344,0.23181141097407734
345,0.21752330799876768
346,0.1370066192238802
347,0.3546618517480793
348,0.15765125240942712
349,0.18888529641011936
350,0.20999381765877917
351,0.19629907384434891
352,0.24815415232746282
353,0.4162714586339704
354,0.1482139230771879
355,0.548759844758829
356,0.47683838018031677
357,0.28318430370315417
358,0.2722499226053141
359,0.23625767170138667
360,0.24306537927184402
361,0.3220454208272798
362,0.16671472620055422
363,0.21439081965452278
365,0.2810090043143643
366,0.15371336815945613
367,0.16007369076363054
368,0.22997888174989095
369,0.23057521119733532
370,0.16909250051674823
371,0.15788468503337888
372,0.31153255004957997
373,0.29749082798084237
374,0.42158264261519285
375,0.17444493479604972
376,0.3462958147926067
377,0.3614496581687181
378,0.36469988393643166
379,0.24578662212116503
380,0.22540207077499774
381,0.27400930369744575
382,0.2646737805685484
383,0.3100524290529837
384,0.2598925005447674
385,0.2802104118807995
386,0.27079248653805005
387,0.25875215494326126
388,0.2550839840835812
389,0.24518803251888482
390,0.450480558248736
391,0.20370718992770523
392,0.24050796127312637
393,0.15427511522067783
394,0.3144973959502374
395,0.15934566474915923
396,0.15056376838549052
397,0.13979149249475414
398,0.26545563545185563
399,0.24109669606545833
400,0.21596230813085826
401,0.24255157540505892
402,0.25861428788920965
403,0.22277407326317814
404,0.2286598013422905
405,0.20510192241111885
406,0.37239815351744476
407,0.3228246017342393
408,0.3036256301561294
409,0.19620863910198727
410,0.1775005459555891
411,0.172357525780713
412,0.11130950707308317
413,0.14678000128355864
414,0.1101177409834895
415,0.14990219816009095
416,0.3747920176238516
417,0.20895296788958667
418,0.285822906071206
419,0.15187805713924618
420,0.20202590325739136
421,0.1545387692026099
422,0.18600765435740801
423,0.3499336480647029
424,0.1728964828970223
425,0.18714759946974052
426,0.1876380317494444
427,0.4393262685999274
428,0.195050207167295
429,0.1367293439351695
430,0.13891842549548794
433,0.24056317676369626
434,0.2629719906360165
435,0.2591432364380993
436,0.26270489979548406
437,0.2595878715660473
438,0.2661013515123112
